"Specimen","Site","Tooth","Sample","Dist","d13C","d18O","C.Error","O.Error"
"ROU.08","ROU","M2","ROU8 M2-1",33.11,-15.44,-4.71,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-2",31.72,-15.49,-4.65,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-3",30.65,-15.67,-4.62,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-4",29.53,-15.77,-4.56,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-5",28.38,-15.91,-4.53,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-6",27.22,-15.87,-4.32,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-7",26,-15.92,-3.93,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-8",24.59,-15.99,-4.17,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-9",23.55,-16,-4.02,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-10",22.49,-15.81,-4.03,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-11",21.38,-16.07,-3.71,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-12",20.34,-16.21,-3.36,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-13",19.37,-16.21,-3.13,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-14",18.27,-16.22,-2.9,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-15",17.37,-16.23,-2.8,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-16",16.23,-16.36,-2.6,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-17",15.11,-16.21,-2.29,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-18",13.93,-16.34,-2.29,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-19",12.73,-16.17,-2.11,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-20",11.64,-16.36,-2.02,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-21",10.57,-16.36,-2.08,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-22",9.47,-16.15,-2.12,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-23",8.27,-16.05,-2.37,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-24",7.09,-16.18,-2.61,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-25",6.03,-15.99,-2.74,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-26",5,-15.82,-2.87,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-27",3.9,-15.26,-3.22,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-1",37.1,-15.11,-3.86,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-2",35.9,-15.5,-4.6,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-3",34.81,-15.62,-4.93,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-4",33.47,-15.92,-5.07,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-5",32.52,-15.85,-5.3,0.03,0.09
